timestamp,side,price,quantity_btc,quantity_usdt,balance_usdt,balance_btc
2025-08-15 16:22:30.819864,BUY,117211.48,0.00085,100,10868.1658925,0.9927
2025-08-15 16:28:38.010656,SELL,117171.24,0.00085,99.59555400000136,10967.7614465,0.99185
2025-08-15 16:42:51.342687,BUY,117034.95,0.00085,99.59555400000136,10868.2817305,0.9927
2025-08-15 16:48:58.195133,SELL,116977.83,0.00085,99.43114699999933,10967.7128775,0.99185
2025-08-15 16:51:00.672506,BUY,116901.75,0.00085,99.43114699999933,10868.357219,0.9927
2025-08-15 16:52:03.102041,SELL,116875.53,0.00085,99.34419200000048,10967.701411,0.99185
2025-08-15 16:53:04.912603,BUY,116892.25,0.00085,99.34419200000048,10868.3533515,0.9927
2025-08-15 16:56:08.667353,SELL,116866.01,0.00085,99.35598150000078,10967.709333,0.99185
2025-08-15 17:25:30.085853,BUY,117083.96,0.00085,99.35598150000078,10868.16806,0.9927
2025-08-15 17:26:32.524235,SELL,117110.0,0.00085,99.54349999999977,10967.71156,0.99185
