timestamp,open,high,low,close,volume,MA_short,MA_long,signal
2025-07-25 01:00:00,117706.99,119000.0,117158.98,117447.91,133.89574,,,0
2025-07-25 02:00:00,117447.91,117453.01,116477.91,116479.0,62.8745,,,0
2025-07-25 03:00:00,116479.0,118400.0,114140.59,115410.0,105.84306,,,0
2025-07-25 04:00:00,115413.71,118500.0,114745.12,116113.2,123.31942,,,0
2025-07-25 05:00:00,116110.0,119000.0,95094.12,115502.3,131.1009,116190.482,,0
2025-07-25 06:00:00,115502.3,118500.0,45000.0,115299.99,178.07913,115760.898,,0
2025-07-25 07:00:00,115300.49,118800.0,101930.4,114794.67,174.34339,115424.03199999998,,0
2025-07-25 08:00:00,114798.0,115936.18,101930.4,115180.2,112.97625,115378.072,,0
2025-07-25 09:00:00,115177.89,115939.12,100000.0,115931.37,103.79532,115341.706,,0
2025-07-25 10:00:00,115931.37,116705.03,115929.38,116297.33,88.06196,115500.71199999998,,0
2025-07-25 11:00:00,116297.33,116776.56,116291.3,116564.29,79.52382,115753.572,,0
2025-07-25 12:00:00,116564.28,117687.3,115458.19,116000.0,116.148,115994.63799999999,,0
2025-07-25 13:00:00,116066.41,117251.76,25000.0,116092.3,109.49713,116177.058,,0
2025-07-25 14:00:00,116092.64,116303.35,67895.0,114964.99,106.21728,115983.782,,0
2025-07-25 15:00:00,114964.99,239741.24,25000.0,115793.66,105.2349,115883.048,115858.08066666666,1
2025-07-25 16:00:00,115794.22,116175.56,115507.89,116174.95,99.80482,115805.18000000001,115773.21666666666,1
2025-07-25 17:00:00,116170.32,116346.03,115894.74,116076.0,89.88285,115820.38,115746.35,1
2025-07-25 18:00:00,116076.0,116535.68,30000.0,116491.65,86.20914,115900.25,115818.46,1
2025-07-25 19:00:00,116491.54,169350.6,106702.54,116694.4,103.63514,116246.13200000001,115857.20666666665,1
2025-07-25 20:00:00,116694.39,117333.4,116578.03,117060.08,82.93189,116499.416,115961.05866666668,1
2025-07-25 21:00:00,117059.99,117441.58,116966.66,117138.07,56.97061,116692.04000000001,116083.59733333335,1
2025-07-25 22:00:00,117138.08,117565.3,117108.7,117279.98,51.79893,116932.83600000001,116249.28466666667,1
2025-07-25 23:00:00,117279.99,117630.05,117126.24,117628.53,50.98841,117160.21200000001,116412.50666666667,1
2025-07-26 00:00:00,117627.28,117634.73,117328.38,117495.99,76.86635,117320.53,116516.81466666669,1
2025-07-26 01:00:00,117496.0,117550.9,117150.71,117153.73,39.19151,117339.26000000001,116573.90800000001,1
2025-07-26 02:00:00,117153.73,117741.0,117151.34,117487.27,71.7261,117409.1,116635.44,1
2025-07-26 03:00:00,117487.27,117618.0,117437.47,117504.91,56.74443,117454.08600000001,116735.76733333334,1
