timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,return,MA5,MA10,MA20,volatility,target,pred_signal
2025-08-06 16:00:00,115439.79,115477.06,114944.08,115132.5,29.79923,1754499599999,3432652.66979070,1494,15.43118000,1777869.54842720,0,-0.002661993523897288,114787.01199999999,114449.824,114135.07999999999,572.0136528512409,1,0
2025-08-06 17:00:00,115132.5,115500.02,115024.0,115499.99,16.75973,1754503199999,1930850.00904820,1016,7.41948000,854930.02702950,0,0.0031918876077563496,115106.09,114577.03300000001,114229.753,652.9057819049651,0,0
2025-08-06 18:00:00,115500.0,115891.28,115313.68,115423.22,30.85674,1754506799999,3564068.28370800,1207,10.59083000,1223407.92205430,0,-0.0006646753822230345,115336.702,114724.532,114303.2845,661.6186646361991,0,0
2025-08-06 19:00:00,115423.23,115525.48,115128.17,115250.88,44.63314,1754510399999,5146485.10576140,1127,21.22529000,2447228.53442030,0,-0.0014931137772797864,115349.278,114840.30500000001,114359.3405,639.7932329576205,0,0
2025-08-06 20:00:00,115253.19,115260.0,114997.99,115073.11,30.3982,1754513999999,3499439.54364460,1159,14.74590000,1697724.28015720,0,-0.001542461107455373,115275.93999999999,114940.89499999999,114419.0115,581.1250808604542,0,0
2025-08-06 21:00:00,115073.11,115664.14,114836.36,115048.76,33.63574,1754517599999,3870935.56435000,1076,19.67656000,2264791.86162540,0,-0.00021160460510716295,115259.192,115023.102,114479.76299999999,524.2267749484748,1,0
2025-08-06 22:00:00,115048.76,115210.95,115039.14,115106.66,16.33503,1754521199999,1880622.71596090,734,8.51838000,980717.35090810,0,0.0005032648765619374,115180.526,115143.308,114554.09599999999,347.1733148917522,0,0
2025-08-06 23:00:00,115106.66,115112.16,114969.99,114992.27,20.55117,1754524799999,2363679.45786400,774,9.30931000,1070692.89255260,0,-0.0009937739484404684,115094.33600000001,115215.519,114627.71599999999,180.4453002641028,0,1
2025-08-07 00:00:00,114992.26,115015.81,114856.15,114890.66,24.77019,1754528399999,2846971.50362550,714,10.11984000,1163053.58384640,0,-0.0008836246123326008,115022.29200000002,115185.785,114700.40400000001,207.8940767812372,0,1
2025-08-07 01:00:00,114890.65,115185.58,23095.89,114763.46,38.78164,1754531999999,4451807.49922450,1422,23.10515000,2655011.50565110,0,-0.0011071396056041571,114960.36200000001,115118.151,114731.6085,225.35668771632172,0,1
2025-08-07 02:00:00,114763.46,114857.33,114456.0,114574.44,21.19915,1754535599999,2432017.19693760,1124,9.54757000,1095263.94474490,0,-0.001647039920197657,114865.49799999999,115062.34500000002,114756.0845,283.10645654673414,0,1
2025-08-07 03:00:00,114574.44,114623.86,114404.71,114546.03,16.07138,1754539199999,1840468.74790400,924,9.09489000,1041578.72631730,0,-0.00024796106356705927,114753.372,114966.949,114771.991,279.9578255312478,0,1
2025-08-07 04:00:00,114546.04,114648.0,113060.81,114349.58,21.438,1754542799999,2453455.78468060,998,10.72804000,1227628.76502810,0,-0.0017150310665502433,114624.834,114859.585,114792.0585,291.1812014012413,1,1
2025-08-07 05:00:00,114349.58,114568.74,89765.0,114568.74,24.50748,1754546399999,2804678.90989000,870,11.16557000,1277842.10286230,0,0.001916578967758431,114560.45,114791.371,114815.83800000002,268.33353364070416,1,1
2025-08-07 06:00:00,114568.74,184767.14,114511.97,114650.0,22.70456,1754549999999,2631465.89840920,1478,13.83780000,1608803.19411060,0,0.0007092685142560118,114537.758,114749.06000000001,114844.97750000001,251.8228336206947,1,1
2025-08-07 07:00:00,114650.0,114876.79,75588.92,114782.65,19.81286,1754553599999,2271259.96844140,1457,9.62133000,1102394.53636190,0,0.0011569995638900377,114579.4,114722.449,114872.77550000002,229.724327712034,1,1
2025-08-07 08:00:00,114787.99,175854.42,114787.99,114948.74,22.87621,1754557199999,2632785.81425950,1513,11.82808000,1361836.74957390,0,0.0014469956914220372,114659.942,114706.657,114924.98250000001,204.41109238347667,1,1
